Название организации;Город;Телефон;Ссылка на сайт;Соц. сети
Правовой Аспект; Саратов;+7 (8452) 98-59-18;https://юрзащита-саратов.рф/;[[' ok', 'https://ok.ru/profile/582622546920'], [' vkontakte', 'https://vk.com/id791280788'], [' whatsapp', 'https://wa.me/79053814309']]
Юридический центр; Орёл;+7 (993) 398-60-79;https://1юц.рф/;[[' ok', 'https://ok.ru/group/54425940263093'], [' vkontakte', 'https://vk.com/uc_ivanov'], [' youtube', 'https://www.youtube.com/channel/UCPCOMpc0_SUhtpr43Jwf51Q']]
Семейный юрист; Саратов;+7 (929) 776-67-77;https://semejnyj-jurist-ulitsa-imeni-kp-panchenko.clients.site/;[[' vkontakte', 'https://vk.com/sempravo']]
Юрфирма Лекс; Тольятти;+7 (8482) 51-55-30;http://zakon-63.ru/;[]
Международное юридическое бюро; Альметьевск;8 (800) 770-74-73;https://ilo-co.com/;[[' vkontakte', 'https://vk.com/ilo_russia']]
Центр правовой защиты и консультирования; Нижний Новгород;+7 (910) 385-75-29;http://www.urnn.ru/;[[' viber', 'https://viber.click/79103857529'], [' vkontakte', 'https://vk.com/club180079061'], [' whatsapp', 'https://wa.me/79103857529']]
Юридические услуги; Саранск;+7 (917) 069-01-64;https://juridicheskie-uslugi-prospekt-lenina.clients.site/;[[' viber', 'https://viber.click/79648510777'], [' vkontakte', 'https://vk.com/saransk.yurist']]
Юридическая защита; Балашиха;+7 (903) 005-40-24;https://juridicheskaja-zaschita-parkovaja-ulitsa.clients.site/;[[' ok', 'https://ok.ru/yuridicheskaya.zashchita'], [' telegram', 'https://t.me/79030054024'], [' viber', 'https://viber.click/79030054024'], [' vkontakte', 'https://vk.com/id616940904'], [' whatsapp', 'https://wa.me/79030054024'], [' youtube', 'https://www.youtube.com/channel/UCIOELWEkWdaB0pB3Ti5QQcA']]
Юристы; Подольск;+7 (909) 905-22-66;http://lcprus.ru/;[]
Центр Защиты Права; Саратов;+7 (8452) 25-92-25;http://czprav.ru/;[[' telegram', 'https://t.me/79372259225'], [' viber', 'https://viber.click/79372259225'], [' vkontakte', 'https://vk.com/id664953207'], [' whatsapp', 'https://wa.me/79372259225']]
Департамент правовых услуг; Москва;+7 (499) 455-31-57;https://юрконсультация24.дпу.москва/?utm_campaign=yandex-bisness_contact&utm_medium=cpc&utm_source=yandex-business;[[' youtube', 'https://www.youtube.com/channel/UC2G7W2uJ_yasnGsY_bfRQVQ/featured?view_as=subscriber']]
Нетдолгофф; Саратов;+7 (937) 254-53-71;https://saratov.netdolgoff.ru/;[[' telegram', 'https://t.me/89085591822'], [' viber', 'https://viber.click/79085591822'], [' vkontakte', 'https://vk.com/netdolgoff_rf'], [' whatsapp', 'https://wa.me/79085591822'], [' youtube', 'https://www.youtube.com/c/netdolgoff']]
Бизнес Юрист; Саратов;8 (800) 600-37-40;https://b-urist.ru/;[[' ok', 'https://ok.ru/burist'], [' telegram', 'https://t.me/bankrotstvo_grazhdann'], [' vkontakte', 'https://vk.com/bankrotstvo_grazhdan'], [' youtube', 'https://www.youtube.com/channel/UCCCkQ5vJhZrWLoWUpESMT2A']]
Юрист Адвокатов Сергей Александрович; Балаково;+7 (937) 801-02-26;;[[' ok', 'https://ok.ru/profile/574440244613'], [' viber', 'https://viber.click/89378010226'], [' vkontakte', 'https://vk.com/balakovo_jurist'], [' whatsapp', 'https://wa.me/89378010226']]
Бизнес-Юрист; Казань;8 (800) 700-34-03;;[[' ok', 'https://ok.ru/burist'], [' telegram', 'https://t.me/bankrotstvo_grazhdann'], [' vkontakte', 'https://vk.com/bankrotstvo_grazhdan'], [' youtube', 'https://www.youtube.com/channel/UCCCkQ5vJhZrWLoWUpESMT2A']]
Юридический центр ЭкаЛекс; Москва;+7 (499) 394-24-44;http://www.экалекс.рф/;[[' telegram', 'https://t.me/+vEFibUySmiNhNGM6'], [' whatsapp', 'https://wa.me/79653942444']]
Юридический центр; Воронеж;+7 (993) 398-60-79;https://1юц.рф/;[[' ok', 'https://ok.ru/group/54425940263093'], [' vkontakte', 'https://vk.com/uc_ivanov'], [' youtube', 'https://www.youtube.com/channel/UCPCOMpc0_SUhtpr43Jwf51Q']]
ЮриуС; Нижний Новгород;+7 (831) 416-14-06;http://юриус.рф/;[[' telegram', 'https://t.me/www_urius_net'], [' viber', 'https://viber.click/79056661406'], [' vkontakte', 'https://vk.com/urius_net'], [' whatsapp', 'https://wa.me/79056661406'], [' youtube', 'https://www.youtube.com/channel/UCzBcMTLe-_dRdYNYzNKIJhQ/videos?shelf_id=0&sort=dd']]
Юридические услуги; п. г. т. Серебряные Пруды;+7 (915) 386-41-13;https://isaenkoipartnery.ru/;[[' viber', 'https://viber.click/79153864113'], [' whatsapp', 'https://wa.me/79153864113'], [' youtube', 'https://www.youtube.com/watch?v=RUgppXRJJ5U']]
ЮрЦентр; Саранск;+7 (902) 230-03-05 (доб. +79510512777);https://centr340305.business.site/?m=true;[[' vkontakte', 'http://vk.com/clubcentr340305'], [' ok', 'https://ok.ru/centr340305'], [' viber', 'https://viber.click/79271851777'], [' whatsapp', 'https://wa.me/79510512777'], [' youtube', 'https://www.youtube.com/channel/UCOabF-d5wo28myfJ9kKuuwg']]
Шартдинов и партнеры; Ульяновск;+7 (8422) 70-03-60;http://юристы-ульяновска.рф/;[[' ok', 'https://ok.ru/shartdinov'], [' telegram', 'https://t.me/+79272703452'], [' viber', 'https://viber.click/79272703452'], [' vkontakte', 'https://vk.com/juristu_ulyanovska'], [' whatsapp', 'https://wa.me/79272703452'], [' youtube', 'https://www.youtube.com/channel/UC-EitL1Tavpri4_mSwakSEg']]
Заря; Пенза;+7 (8412) 23-48-62;https://zarya.ru/;[[' ok', 'https://ok.ru/company.Zarya'], [' telegram', 'https://t.me/company_zennit'], [' vkontakte', 'https://vk.com/company.Zarya'], [' youtube', 'https://www.youtube.com/channel/UCyeIt8rxVlwD9Zm6YFMLLUg']]
Адвокаты Юристы; Балашиха;+7 (495) 138-27-37;http://юристбалашиха.рф/;[[' ok', 'https://ok.ru/profile/564125284227'], [' vkontakte', 'https://vk.com/advokat1815']]
Вектор Прайм; Москва;+7 (495) 212-10-27;https://mpcvector.ru/;[[' telegram', 'https://t.me/+79152121027'], [' viber', 'https://viber.click/84952121027'], [' vkontakte', 'https://vk.com/mpcvector'], [' whatsapp', 'https://wa.me/84952121027'], [' youtube', 'https://www.youtube.com/channel/UCcdQziEnnN4i7vxS7BzSpUA']]
Коллегия Юристов; Калуга;+7 (953) 335-14-33;http://kollegia-uristov40.ru/;[[' telegram', 'https://t.me/+79533351433'], [' viber', 'https://viber.click/89533351433'], [' vkontakte', 'https://vk.com/kollegia_uristov_pub40'], [' whatsapp', 'https://wa.me/79533351433']]
Юридический центр; Белгород;+7 (993) 398-60-79;https://1юц.рф/;[[' ok', 'http://ok.ru/group/54425940263093'], [' youtube', 'http://youtube.com/channel/UCPCOMpc0_SUhtpr43Jwf51Q'], [' vkontakte', 'https://vk.com/uc_ivanov']]
Правовой центр; Москва;+7 (495) 799-28-35;http://juridic-consult.ru/;[[' viber', 'https://viber.click/79258447111'], [' vkontakte', 'https://vk.com/id301649198'], [' whatsapp', 'https://wa.me/79258447111']]
Юридические услуги; Зеленодольск;+7 (917) 922-05-34;https://juristzd.turbo.site/;[]
ЮриуС; Нижний Новгород;+7 (831) 413-11-86;http://юриус.рф/;[[' telegram', 'https://t.me/www_urius_net'], [' viber', 'https://viber.click/79056661406'], [' vkontakte', 'https://vk.com/urius_net'], [' whatsapp', 'https://wa.me/79056661406'], [' youtube', 'https://www.youtube.com/channel/UCzBcMTLe-_dRdYNYzNKIJhQ/videos?shelf_id=0&sort=dd']]
Правовой ответ; Саранск;+7 (937) 671-70-64;https://правовой-ответ.рф/;[[' youtube', 'http://youtube.com/channel/UCFHbtXdaTJMENhVVu2O-iNQ'], [' telegram', 'https://t.me/pravovoy_otvet'], [' viber', 'https://viber.click/79376717064'], [' vkontakte', 'https://vk.com/yurist_13'], [' whatsapp', 'https://wa.me/79376717064']]
Юрист и Право; Москва;+7 (495) 132-09-92;http://uristpravo.ru/;[[' vkontakte', 'http://vk.com/club131247438'], [' telegram', 'https://t.me/+79912311314'], [' whatsapp', 'https://wa.me/79912311314']]
Юридический кабинет Полозова Е. Н.; Москва;+7 (925) 919-55-65;http://regforma.ru/;[[' telegram', 'https://t.me/regforma']]
Бизнес-Юрист; Тольятти;8 (800) 600-37-40;;[[' ok', 'https://ok.ru/burist'], [' telegram', 'https://t.me/bankrotstvo_grazhdann'], [' vkontakte', 'https://vk.com/bankrotstvo_grazhdan'], [' youtube', 'https://www.youtube.com/channel/UCCCkQ5vJhZrWLoWUpESMT2A']]
Давыдов и партнёры; Москва;+7 (495) 136-50-00;http://www.advokatdavidov.ru/;[[' ok', 'https://ok.ru/advokatdavidov'], [' telegram', 'https://t.me/+7'], [' viber', 'https://viber.click/79660010303'], [' vkontakte', 'https://vk.com/advokatdavidov'], [' whatsapp', 'https://wa.me/79660010303']]
Юридический кабинет Братьев Болтуновых; Мытищи;+7 (495) 120-08-48;https://myt-pravo.ru/;[[' vkontakte', 'https://vk.com/law_company'], [' whatsapp', 'https://wa.me/79269118821'], [' youtube', 'https://www.youtube.com/channel/UCuKikfVpV6gx-wX6f35kAzg']]
Юмфц; Саратов;+7 (8452) 99-10-26;https://www.urist-64.ru/;[[' viber', 'https://viber.click/79372655696'], [' vkontakte', 'https://vk.com/urist_64'], [' whatsapp', 'https://wa.me/79372655696']]
Центурион; Самара;+7 (846) 219-23-33;https://centurion63.ru/?utm_campaign=stnd&utm_medium=btn&utm_source=bussinescard;[[' ok', 'https://ok.ru/bankrotctvo163'], [' vkontakte', 'https://vk.com/centurion_63']]
Адвокат и юрист Кузнецов Александр Сергеевич; Зеленоградский административный округ;+7 (495) 664-35-09;https://chastniy-advokat.ru/;[[' ok', 'https://ok.ru/group/61158107447349'], [' telegram', 'https://t.me/89587770990'], [' viber', 'https://viber.click/79587770990'], [' vkontakte', 'https://vk.com/advokat_v_zelenograde'], [' whatsapp', 'https://wa.me/89587770990']]
Юрист073; Ульяновск;+7 (927) 800-70-70;;[[' viber', 'https://viber.click/79278007070'], [' whatsapp', 'https://wa.me/79372757401']]
МаксимА; Владимир;+7 (4922) 53-11-11;https://maxima33.ru/;[[' vkontakte', 'https://vk.com/uamaxima33']]
Ассоциация Юристов ЕС; Подольск;+7 (906) 700-72-50;http://association-lawyers.ru/;[[' telegram', 'https://t.me/associationlawyers'], [' viber', 'https://viber.click/79067007250'], [' vkontakte', 'https://vk.com/association.lawyers']]
Лидер; Красногорск;8 (800) 700-88-71;https://www.up-leader.ru/;[[' vkontakte', 'http://vk.com/lawyers.leader'], [' telegram', 'https://t.me/+79687802797'], [' viber', 'https://viber.click/79687802797'], [' whatsapp', 'https://wa.me/79687802797']]
Заря; Самара;+7 (846) 211-06-15;https://zarya.ru/;[[' ok', 'https://ok.ru/company.Zarya'], [' telegram', 'https://t.me/company_zennit'], [' vkontakte', 'https://vk.com/company.Zarya'], [' youtube', 'https://www.youtube.com/channel/UCyeIt8rxVlwD9Zm6YFMLLUg']]
Справедливость; Чебоксары;+7 (967) 796-77-99;https://kuchekeev-ruslan.ru/;[[' telegram', 'https://t.me/Ruslan_kuchekeev'], [' viber', 'https://viber.click/89677967799'], [' vkontakte', 'https://vk.com/public104018061'], [' whatsapp', 'https://wa.me/79677967799']]
Юридическая фирма Гриб Роман и Партнеры; Волгоград;+7 (904) 775-50-02;http://gribroman.ru/;[[' telegram', 'https://t.me/79047755002'], [' viber', 'https://viber.click/79047755002'], [' vkontakte', 'https://vk.com/gribroman'], [' whatsapp', 'https://wa.me/79047755002']]
Адвокаты Юристы; Ногинск;+7 (966) 019-48-43;https://yuristnoginsk.ru/;[[' ok', 'https://ok.ru/profile/564125284227'], [' vkontakte', 'https://vk.com/club61173441']]
Юридический центр Букалова В. В.; Таганрог;+7 (928) 199-34-04;https://advokaty-bukalova.ru/;[[' vkontakte', 'https://vk.com/public182656228'], [' whatsapp', 'https://wa.me/89281993404']]
Юридический супермаркет; Ярославль;+7 (4852) 60-74-07;https://urmarket.ru/;[[' ok', 'https://ok.ru/urmarket'], [' telegram', 'https://t.me/74852607499'], [' vkontakte', 'https://vk.com/urmarket'], [' whatsapp', 'https://wa.me/78001014535']]
Юридическое бюро Замоскворечье; Москва;+7 (495) 545-10-99;http://justtime.ru/;[[' telegram', 'https://t.me/+79163032323'], [' whatsapp', 'https://wa.me/79163032323']]
Ивановский центр защиты прав, свобод и законных интересов граждан; Иваново;+7 (906) 513-21-41;https://ivanovskij-tsentr-zaschity.clients.site/;[[' vkontakte', 'https://vk.com/id372339751']]
Большое дело; Орёл;+7 (930) 777-08-15;https://orel.bolshoedelo.com/;[[' ok', 'https://ok.ru/bolshoedelo'], [' telegram', 'https://t.me/Bolshoedelo1'], [' vkontakte', 'https://vk.com/lawcentreru'], [' whatsapp', 'https://wa.me/79103027202'], [' youtube', 'https://www.youtube.com/channel/UCoEkt7lgW6PdCxS_9WbztTg/']]
Вектор Прайм; Москва;+7 (495) 212-10-27;https://mpcvector.ru/;[[' telegram', 'https://t.me/+79152121027'], [' viber', 'https://viber.click/84952121027'], [' vkontakte', 'https://vk.com/mpcvector'], [' whatsapp', 'https://wa.me/84952121027'], [' youtube', 'https://www.youtube.com/channel/UCcdQziEnnN4i7vxS7BzSpUA']]
Бизнес-Юрист; Самара;8 (800) 600-37-40;;[[' ok', 'https://ok.ru/burist'], [' telegram', 'https://t.me/bankrotstvo_grazhdann'], [' vkontakte', 'https://vk.com/bankrotstvo_grazhdan'], [' youtube', 'https://www.youtube.com/channel/UCCCkQ5vJhZrWLoWUpESMT2A']]
Юридическая консультация Митино; Москва;+7 (926) 738-34-09;https://юристы-митино.рф/;[[' whatsapp', 'https://wa.me/79267383409']]
Бизнес-Юрист; Саранск;8 (800) 600-37-40;;[[' ok', 'https://ok.ru/burist'], [' telegram', 'https://t.me/bankrotstvo_grazhdann'], [' vkontakte', 'https://vk.com/bankrotstvo_grazhdan'], [' youtube', 'https://www.youtube.com/channel/UCCCkQ5vJhZrWLoWUpESMT2A']]
Юрист Чистяков К. В.; Лобня;+7 (495) 517-48-30;;[[' ok', 'https://ok.ru/profile/417596240'], [' telegram', 'https://t.me/kvch49'], [' viber', 'https://viber.click/79099451210'], [' vkontakte', 'https://vk.com/id6630712'], [' whatsapp', 'https://wa.me/79099451210']]
Юрист-Гарант; Нижний Новгород;+7 (920) 076-53-96;https://urist-garant.ru/;[[' vkontakte', 'http://vk.com/club80409342'], [' telegram', 'https://t.me/79290534470'], [' viber', 'https://viber.click/79290534470'], [' whatsapp', 'https://wa.me/79290534470']]
Юридическая Ассоциация; Йошкар-Ола;+7 (8362) 20-01-01;https://юристо.рф/;[[' ok', 'https://ok.ru/uristo'], [' telegram', 'https://t.me/uristola'], [' vkontakte', 'https://vk.com/uristo_rf'], [' whatsapp', 'https://wa.me/79024300101']]
Юрист; Павловский Посад;+7 (901) 469-47-82;http://www.yuristpp.ru/;[[' whatsapp', 'https://wa.me/79153379337']]
Центр юридической поддержки; Жуковский;+7 (901) 147-57-58;http://uf-partner.com/;[[' telegram', 'https://t.me/+79266108377'], [' vkontakte', 'https://vk.com/ufpartner'], [' whatsapp', 'https://wa.me/79266108377']]
Бизнес-Юрист; Тольятти;8 (800) 600-37-40;;[[' ok', 'https://ok.ru/burist'], [' telegram', 'https://t.me/bankrotstvo_grazhdann'], [' vkontakte', 'https://vk.com/bankrotstvo_grazhdan'], [' youtube', 'https://youtube.com/channel/UCCCkQ5vJhZrWLoWUpESMT2A']]
Ютрэйд - юридические услуги. Банкротство; Альметьевск;+7 (8553) 43-83-83;;[[' vkontakte', 'https://vk.com/juristvzakone']]
Юридическое агентство Кулянковой Евгении; Пушкино;+7 (903) 130-45-60;http://kulyankova.ru/;[[' ok', 'https://ok.ru/group/54318497005640'], [' vkontakte', 'https://vk.com/public166422534'], [' whatsapp', 'https://wa.me/79031304560']]
Правовой эксперт; Фрязино;+7 (495) 587-30-10;https://правовой-эксперт.рф/;[[' vkontakte', 'https://vk.com/jurist.advokat.fryazino'], [' whatsapp', 'https://wa.me/89161410707']]
Юрист в Раменском. Александрия. Автоюристы. Экспертиза. Юридическая консультация. Адвокат при ДТП. Арбитражный адвокат; Раменское;+7 (969) 777-36-06;https://jurexpertcenter.ru/v-ramenskom;[[' viber', 'https://viber.click/79261112289'], [' vkontakte', 'https://vk.com/alexandriya_uristi'], [' whatsapp', 'https://wa.me/79261112289']]
Юридическая помощь; Москва;+7 (495) 160-60-06;https://babochenok.ru/;[[' telegram', 'https://t.me/yoorist'], [' whatsapp', 'https://wa.me/79251606006']]
Литвинова и Партнёры; Чехов;+7 (966) 098-03-46;https://yurist-chehov.ru/;[[' vkontakte', 'https://vk.com/litvinovaandpartners']]
Юридический кабинет Святослава Зуева; Москва;+7 (999) 858-58-80;https://urist-zuev.ru/;[[' telegram', 'https://t.me/sudvest'], [' viber', 'https://viber.click/79998585880'], [' vkontakte', 'https://vk.com/svyat.zuev'], [' whatsapp', 'https://wa.me/79998585880'], [' youtube', 'https://www.youtube.com/channel/UCeyL95-3hs9oD_tg2yNmsRQ']]
Юридические услуги; п. г. т. Кировское;+7 (978) 862-60-90;;[[' ok', 'https://ok.ru/yurist.kirovskoe'], [' telegram', 'https://t.me/yurist_kirovskoe'], [' viber', 'https://viber.click/79788626090'], [' vkontakte', 'https://vk.com/yurist_kirovskoe'], [' whatsapp', 'https://wa.me/79788626090']]
Я прав!; Ярославль;+7 (4852) 23-03-54;https://помощьюристов.рф/;[[' telegram', 'https://t.me/yapravcentr_bot'], [' vkontakte', 'https://vk.com/lawyeryaroslavl'], [' whatsapp', 'https://wa.me/79065259381']]
Мегаполис Групп; Подольск;8 (800) 101-22-80;https://юр-услуга.рф/;[[' ok', 'https://ok.ru/group/59648268042271'], [' telegram', 'https://t.me/yur_adresa'], [' viber', 'https://viber.click/79261956440'], [' vkontakte', 'https://vk.com/adresa.megapolis.grupp'], [' whatsapp', 'https://wa.me/79778342040']]
Ваш Юрист; 1;+7 (927) 506-49-05;http://ваш-юрист34.рф/;[[' vkontakte', 'http://vk.com/urist__volgograd'], [' whatsapp', 'https://wa.me/79275064905']]
Amulex.ru; Москва;8 (800) 775-39-98;https://amulex.ru/;[[' ok', 'https://ok.ru/group/57652014940162?ysclid=lmuhtx0qw6160117776'], [' telegram', 'https://t.me/AmulexBot'], [' vkontakte', 'https://vk.com/amulexrussia'], [' whatsapp', 'https://wa.me/74992151477'], [' youtube', 'https://youtube.com/channel/UCO-XSIDldxH-Iz-vQa9FirA']]
Правовая гарантия; Москва;+7 (499) 938-42-49;https://sibadvokat.ru/;[[' telegram', 'https://t.me/sibadvokat1'], [' viber', 'https://viber.click/79039270555'], [' vkontakte', 'https://vk.com/sibadvokatru'], [' whatsapp', 'https://wa.me/79039270555']]
Вектор Прайм; Москва;+7 (495) 212-10-27;https://mpcvector.ru/;[[' telegram', 'https://t.me/+79152121027'], [' viber', 'https://viber.click/84952121027'], [' vkontakte', 'https://vk.com/mpcvector'], [' whatsapp', 'https://wa.me/84952121027'], [' youtube', 'https://www.youtube.com/channel/UCcdQziEnnN4i7vxS7BzSpUA']]
Юридическая Москва; Москва;+7 (495) 101-29-40;https://ur-moscow.ru/;[[' telegram', 'https://t.me/urmoscow'], [' vkontakte', 'https://vk.com/urmoscowru'], [' whatsapp', 'https://wa.me/79060102940']]
Фемида; Самара;+7 (999) 333-12-43;http://centerfemida.ru/;[[' viber', 'https://viber.click/79879068847'], [' vkontakte', 'https://vk.com/femida.kinel'], [' whatsapp', 'https://wa.me/79879068847'], [' youtube', 'https://www.youtube.com/channel/UC4VkwBrwjdsaL63uaPlYhgQ']]
Юрист для Людей; Ульяновск;8 (800) 533-81-30;http://юристдлялюдей.рф/;[[' ok', 'https://ok.ru/urist.for.people'], [' telegram', 'https://t.me/uristforpeople'], [' vkontakte', 'https://vk.com/urist.for.people'], [' youtube', 'https://www.youtube.com/channel/UColvivF0Og4lapU8izWS4Aw']]
Центр Правовой Помощи; Нижний Новгород;+7 (930) 070-78-62;https://law-nn52com.ru/;[[' ok', 'http://ok.ru/group/61466404192379'], [' telegram', 'https://t.me/+79300707862'], [' viber', 'https://viber.click/79300707862'], [' vkontakte', 'https://vk.com/centrprava52'], [' whatsapp', 'https://wa.me/79300707862']]
Юристы Новой Москвы; посёлок Коммунарка;+7 (985) 059-19-19;http://urist-nm.ru/;[[' whatsapp', 'https://wa.me/79850591919']]
Юридическая услуги; Ульяновск;+7 (937) 874-53-39;;[]
Бизнес-Юрист; Чебоксары;8 (800) 700-34-03;;[[' ok', 'https://ok.ru/burist'], [' telegram', 'https://t.me/bankrotstvo_grazhdann'], [' vkontakte', 'https://vk.com/bankrotstvo_grazhdan'], [' youtube', 'https://www.youtube.com/channel/UCCCkQ5vJhZrWLoWUpESMT2A']]
Юрист-52; Нижний Новгород;+7 (980) 114-39-47;http://law-52.ru/;[[' viber', 'https://viber.click/79202539411'], [' whatsapp', 'https://wa.me/79202539411']]
Большое дело; Тула;+7 (930) 777-08-15;https://tula.bolshoedelo.com/;[[' ok', 'https://ok.ru/bolshoedelo'], [' telegram', 'https://t.me/Bolshoedelo1'], [' vkontakte', 'https://vk.com/lawcentreru'], [' whatsapp', 'https://wa.me/79103027202'], [' youtube', 'https://www.youtube.com/channel/UCoEkt7lgW6PdCxS_9WbztTg']]
Бюро Юристов&ЭкспертовЪ; Тверь;+7 (4822) 63-10-91;https://ekpravo.ru/;[[' ok', 'https://ok.ru/ekpravo'], [' telegram', 'https://t.me/lawyer_tver'], [' viber', 'https://viber.click/79201531042'], [' vkontakte', 'https://vk.com/ekpravo'], [' whatsapp', 'https://wa.me/79201531042']]
